1785936589,lts-prometheus,0.61
1785936593,loadtest-sim-k6-run-229318270606,65.37
1785936593,lts-app,83.36
1785936593,lts-nginx,0.00
1785936593,lts-grafana,0.73
1785936593,lts-pg-exporter,0.89
1785936593,lts-postgres,37.84
1785936593,lts-prometheus,0.12
1785936597,loadtest-sim-k6-run-229318270606,83.70
1785936597,lts-app,93.99
1785936597,lts-nginx,0.00
1785936597,lts-grafana,0.93
1785936597,lts-pg-exporter,0.78
1785936597,lts-postgres,48.76
1785936597,lts-prometheus,0.19
1785936601,loadtest-sim-k6-run-229318270606,76.44
1785936601,lts-app,92.71
1785936601,lts-nginx,0.00
1785936601,lts-grafana,0.83
1785936601,lts-pg-exporter,0.01
1785936601,lts-postgres,45.97
1785936601,lts-prometheus,0.37
1785936605,loadtest-sim-k6-run-229318270606,79.33
1785936605,lts-app,89.59
1785936605,lts-nginx,0.00
1785936605,lts-grafana,1.01
1785936605,lts-pg-exporter,0.00
1785936605,lts-postgres,43.06
1785936605,lts-prometheus,16.44
1785936610,loadtest-sim-k6-run-229318270606,72.34
1785936610,lts-app,97.08
1785936610,lts-nginx,0.00
1785936610,lts-grafana,0.78
1785936610,lts-pg-exporter,0.00
1785936610,lts-postgres,43.92
1785936610,lts-prometheus,11.06
1785936614,loadtest-sim-k6-run-229318270606,97.26
1785936614,lts-app,93.86
1785936614,lts-nginx,0.00
1785936614,lts-grafana,0.73
1785936614,lts-pg-exporter,0.00
1785936614,lts-postgres,45.23
1785936614,lts-prometheus,16.55
1785936618,loadtest-sim-k6-run-229318270606,75.09
1785936618,lts-app,93.23
1785936618,lts-nginx,0.00
1785936618,lts-grafana,0.90
1785936618,lts-pg-exporter,0.00
1785936618,lts-postgres,45.27
1785936618,lts-prometheus,0.31
1785936622,loadtest-sim-k6-run-229318270606,76.80
1785936622,lts-app,96.58
1785936622,lts-nginx,0.00
1785936622,lts-grafana,0.75
1785936622,lts-pg-exporter,0.00
1785936622,lts-postgres,47.10
1785936622,lts-prometheus,0.61
1785936626,loadtest-sim-k6-run-229318270606,76.56
1785936626,lts-app,94.79
1785936626,lts-nginx,0.00
1785936626,lts-grafana,0.90
1785936626,lts-pg-exporter,0.00
1785936626,lts-postgres,49.16
1785936626,lts-prometheus,0.28
1785936630,loadtest-sim-k6-run-229318270606,76.15
1785936630,lts-app,94.68
1785936630,lts-nginx,0.00
1785936630,lts-grafana,0.88
1785936630,lts-pg-exporter,0.00
1785936630,lts-postgres,48.42
1785936630,lts-prometheus,51.20
1785936634,loadtest-sim-k6-run-229318270606,83.33
1785936634,lts-app,87.85
1785936634,lts-nginx,0.00
1785936634,lts-grafana,0.76
1785936634,lts-pg-exporter,0.00
1785936634,lts-postgres,38.92
1785936634,lts-prometheus,0.97
1785936638,loadtest-sim-k6-run-229318270606,86.08
1785936638,lts-app,96.78
1785936638,lts-nginx,0.00
1785936638,lts-grafana,0.86
1785936638,lts-pg-exporter,1.05
1785936638,lts-postgres,51.00
1785936638,lts-prometheus,0.35
1785936642,loadtest-sim-k6-run-229318270606,82.44
1785936642,lts-app,99.81
1785936642,lts-nginx,0.00
1785936642,lts-grafana,0.79
1785936642,lts-pg-exporter,0.98
1785936642,lts-postgres,51.72
1785936642,lts-prometheus,0.15
1785936647,loadtest-sim-k6-run-229318270606,84.53
1785936647,lts-app,101.45
1785936647,lts-nginx,0.00
1785936647,lts-grafana,0.85
1785936647,lts-pg-exporter,1.26
1785936647,lts-postgres,53.67
1785936647,lts-prometheus,0.16
